PK_m,Abscisa,Latitud,Longitud,Cota_terreno_msnm,Cota_rasante_msnm,Cobertura_m
4771.9,K4+771.86,4.374613,-75.23767,1470.5,996.7,473.8
4806.7,K4+806.69,4.374691,-75.237974,1454.0,997.1,456.9
4841.5,K4+841.52,4.374768,-75.238278,1449.6,997.4,452.2
4876.4,K4+876.35,4.374846,-75.238582,1458.7,997.7,460.9
4911.2,K4+911.18,4.374923,-75.238887,1493.1,998.1,495.0
4946.0,K4+946.02,4.375001,-75.239191,1502.2,998.4,503.8
4980.8,K4+980.85,4.375078,-75.239495,1514.3,998.7,515.5
5015.7,K5+015.68,4.375156,-75.239799,1552.7,999.1,553.6
5050.5,K5+050.51,4.375233,-75.240103,1572.2,999.4,572.7
5085.3,K5+085.34,4.375311,-75.240407,1582.2,999.7,582.4
5120.2,K5+120.17,4.375388,-75.240712,1590.3,1000.1,590.2
5155.0,K5+155.00,4.375465,-75.241016,1608.1,1000.4,607.6
5189.8,K5+189.83,4.375543,-75.24132,1607.2,1000.7,606.4
5224.7,K5+224.66,4.37562,-75.241624,1614.9,1001.1,613.9
5259.5,K5+259.50,4.375698,-75.241928,1640.8,1001.4,639.4
5294.3,K5+294.33,4.375775,-75.242232,1646.1,1001.8,644.3
5329.2,K5+329.16,4.375853,-75.242537,1645.6,1002.1,643.6
5364.0,K5+363.99,4.37593,-75.242841,1645.2,1002.4,642.8
5398.8,K5+398.82,4.376008,-75.243145,1681.7,1002.8,678.9
5433.7,K5+433.65,4.376085,-75.243449,1694.4,1003.1,691.4
5468.5,K5+468.48,4.376163,-75.243753,1717.8,1003.4,714.4
5503.3,K5+503.31,4.37624,-75.244057,1738.9,1003.8,735.2
5538.1,K5+538.14,4.376317,-75.244362,1760.1,1004.1,756.0
5573.0,K5+572.98,4.376395,-75.244666,1746.5,1004.4,742.1
5607.8,K5+607.81,4.376472,-75.24497,1730.9,1004.8,726.2
5642.6,K5+642.64,4.37655,-75.245274,1733.8,1005.1,728.7
5677.5,K5+677.47,4.376627,-75.245578,1713.3,1005.4,707.9
5712.3,K5+712.30,4.376705,-75.245882,1695.5,1005.8,689.7
5747.1,K5+747.13,4.376782,-75.246187,1677.9,1006.1,671.8
5782.0,K5+781.96,4.37686,-75.246491,1654.5,1006.4,648.0
5816.8,K5+816.79,4.376937,-75.246795,1633.4,1006.8,626.6
5851.6,K5+851.62,4.377015,-75.247099,1582.1,1007.1,575.0
5886.5,K5+886.46,4.377092,-75.247403,1551.5,1007.4,544.1
5921.3,K5+921.29,4.37717,-75.247707,1533.3,1007.8,525.5
5956.1,K5+956.12,4.377247,-75.248012,1529.9,1008.1,521.8
5990.9,K5+990.95,4.377324,-75.248316,1539.6,1008.4,531.1
6025.8,K6+025.78,4.377402,-75.24862,1572.1,1008.8,563.3
6060.6,K6+060.61,4.377479,-75.248924,1567.9,1009.1,558.8
6095.4,K6+095.44,4.377557,-75.249228,1570.5,1009.4,561.1
6130.3,K6+130.27,4.377634,-75.249532,1562.8,1009.8,553.1
6165.1,K6+165.10,4.377712,-75.249837,1572.5,1010.1,562.4
6199.9,K6+199.94,4.377789,-75.250141,1563.9,1010.4,553.4
6234.8,K6+234.77,4.377867,-75.250445,1567.0,1010.8,556.2
6269.6,K6+269.60,4.377944,-75.250749,1551.5,1011.1,540.4
6304.4,K6+304.43,4.378022,-75.251053,1524.9,1011.4,513.5
6339.3,K6+339.26,4.378099,-75.251357,1500.4,1011.8,488.6
6374.1,K6+374.09,4.378176,-75.251662,1484.1,1012.1,472.0
