departamento;municipio;divipola;entidad;tramo;pr;fallecidos;latitud;longitud;gizscore;gipvalue;nombre
CUNDINAMARCA;FACATATIVÁ;25269;ANI;Mosquera - Facatativa - Los Andes;51;2;4.788334;-74.334441;1.942162;0.052117;Bogotá (Fontibón) – Faca – Los Alpes
CUNDINAMARCA;FUNZA;25286;DEPTO;Mosquera - Funza;sd;8;4.74712;-74.168107;3.328315;0.000874;
CUNDINAMARCA;FUNZA;25286;DEPTO;Mosquera - Funza;sd;19;4.737457;-74.180797;6.043761;0;
CUNDINAMARCA;FUNZA;25286;DEPTO;Mosquera - Funza;sd;17;4.726685;-74.191834;7.752761;0;
CUNDINAMARCA;FUNZA;25286;DEPTO;Mosquera - Funza;sd;18;4.716745;-74.204249;6.120171;0;
CUNDINAMARCA;SIBATÉ;25740;ANI;Girardot - Bogotá;111;3;4.539306;-74.261896;1.93442;0.053062;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;SOACHA;25754;ANI;Girardot - Bogotá;107;2;4.536913;-74.281327;1.942162;0.052117;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;GRANADA;25312;ANI;Girardot - Bogotá;98;11;4.529922;-74.339426;2.403517;0.016238;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;GRANADA;25312;ANI;Girardot - Bogotá;96;6;4.518838;-74.357806;1.725132;0.084504;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;GRANADA;25312;ANI;Girardot - Bogotá;94;8;4.504559;-74.364744;1.725132;0.084504;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
QUINDÍO;CALARCÁ;63130;INVIAS-OTROS;Calarcá - Ibagué;10;9;4.527243;-75.60247;2.113062;0.034595;
CUNDINAMARCA;SILVANIA;25743;ANI;Girardot - Bogotá;82;10;4.425913;-74.390199;2.562283;0.010399;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;SILVANIA;25743;ANI;Girardot - Bogotá;80;8;4.407575;-74.391368;2.454862;0.014094;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;FUSAGASUGÁ;25290;ANI;Girardot - Bogotá;75;3;4.375719;-74.388125;2.77157;0.005579;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;FUSAGASUGÁ;25290;ANI;Girardot - Bogotá;71;16;4.361716;-74.37977;2.77157;0.005579;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;FUSAGASUGÁ;25290;ANI;Girardot - Bogotá;61;16;4.310412;-74.439811;3.883253;0.000103;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;FUSAGASUGÁ;25290;ANI;Girardot - Bogotá;57;9;4.289098;-74.466172;1.811623;0.070044;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;FUSAGASUGÁ;25290;ANI;Girardot - Bogotá;49;9;4.26336;-74.518687;3.190145;0.001422;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;FUSAGASUGÁ;25290;ANI;Girardot - Bogotá;43;12;4.260434;-74.535832;2.796662;0.005163;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
CUNDINAMARCA;FUSAGASUGÁ;25290;ANI;Girardot - Bogotá;43;4;4.254834;-74.53858;2.143707;0.032056;IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot
TOLIMA;ESPINAL;73268;ANI;Ibagué- Girardot;sd;7;4.233387;-74.9046;1.725132;0.084504;Girardot – Ibagué – Cajamarca
TOLIMA;IBAGUÉ;73001;ANI;Ibagué- Girardot;23;13;4.374953;-75.117841;2.995412;0.002741;Girardot – Ibagué – Cajamarca
TOLIMA;ALVARADO;73026;ANI;Ibagué - Venadillo - Lérida;13;9;4.464096;-75.033862;1.811623;0.070044;IP  –  Cambao Manizales
CUNDINAMARCA;PUERTO SALGAR;25572;INVIAS-OTROS;Puerto Salgar - Barranca;52;9;5.603046;-74.621779;1.811623;0.070044;
SANTANDER;BARRANCABERMEJA;68081;INVIAS-OTROS;Puerto Salgar - Barranca;129;12;6.961981;-73.702929;2.699465;0.006945;
SANTANDER;SABANA DE TORRES;68655;INVIAS-OTROS;Barranca - Aguachica;36;17;7.384705;-73.549463;4.179201;0.000029;
SANTANDER;SABANA DE TORRES;68655;INVIAS-OTROS;Barranca - Aguachica;40;12;7.428684;-73.545312;2.699465;0.006945;
CESAR;SAN ALBERTO;20710;INVIAS-OTROS;Barranca - Aguachica;82;24;7.733236;-73.435159;6.250831;0;
CESAR;SAN ALBERTO;20710;INVIAS-OTROS;Barranca - Aguachica;3;14;7.790466;-73.403877;3.291359;0.000997;
SANTANDER;GIRÓN;68307;DEPTO;;67;1;7.080771;-73.185884;2.292183;0.021895;
SANTANDER;GIRÓN;68307;DEPTO;;69;13;7.073695;-73.179794;2.860912;0.004224;
SANTANDER;GIRÓN;68307;DEPTO;;9;6;7.0724;-73.164142;3.476334;0.000508;
SANTANDER;GIRÓN;68307;DEPTO;Piedecuesta-Girón;8;9;7.064479;-73.166287;3.309362;0.000935;
SANTANDER;FLORIDABLANCA;68276;INVIAS-OTROS;Barbosa - Bucaramanga;1;17;7.06389;-73.095517;4.179201;0.000029;
SANTANDER;FLORIDABLANCA;68276;INVIAS-OTROS;Barbosa - Bucaramanga;87;22;7.045646;-73.078284;5.658936;0;
SANTANDER;PIEDECUESTA;68547;INVIAS-OTROS;Barbosa - Bucaramanga;84;12;7.02063;-73.06025;2.699465;0.006945;
SANTANDER;PIEDECUESTA;68547;INVIAS-OTROS;Barbosa - Bucaramanga;79;16;6.99008;-73.044162;4.027295;0.000056;
SANTANDER;PIEDECUESTA;68547;INVIAS-OTROS;Barbosa - Bucaramanga;78;9;6.972442;-73.044608;4.027295;0.000056;
RISARALDA;PEREIRA;66001;INVIAS-OTROS;Variante Pereira;5;7;4.813499;-75.801036;3.309362;0.000935;
RISARALDA;PEREIRA;66001;INVIAS-OTROS;Variante Pereira;8;14;4.810408;-75.810555;2.440202;0.014679;
CESAR;SAN ALBERTO;20710;INVIAS-OTROS;Barranca - Aguachica;7;10;7.831367;-73.425267;2.10757;0.035068;
CESAR;SAN MARTÍN;20770;INVIAS-OTROS;Barranca - Aguachica;15;11;7.896122;-73.45797;2.403517;0.016238;
CESAR;SAN MARTÍN;20770;INVIAS-OTROS;Barranca - Aguachica;23;10;7.963444;-73.493668;2.10757;0.035068;
CESAR;SAN MARTÍN;20770;INVIAS-OTROS;Barranca - Aguachica;31;13;8.014307;-73.520019;2.995412;0.002741;
CESAR;RIO DE ORO;20614;INVIAS-OTROS;Barranca - Aguachica;37;11;8.07286;-73.549345;2.403517;0.016238;
NORTE DE SANTANDER;EL ZULIA;54261;INVIAS-OTROS;;74;4;7.928047;-72.598278;2.893293;0.003812;
NORTE DE SANTANDER;EL ZULIA;54261;INVIAS-OTROS;El Zulia-Cúcuta;58;24;7.930199;-72.590409;2.022182;0.043158;
QUINDÍO;CALARCÁ;63130;ANI;;85;1;4.530654;-75.634098;3.822062;0.000132;Armenia -Pereira - Manizales
QUINDÍO;CALARCÁ;63130;INVIAS-OTROS;Calarcá - Ibagué;86;21;4.529347;-75.632733;4.512465;0.0000060;
QUINDÍO;CALARCÁ;63130;ANI;La Paila - Calarcá;85;9;4.528841;-75.634918;3.328315;0.000874;Armenia -Pereira - Manizales
QUINDÍO;CALARCÁ;63130;INVIAS-OTROS;Calarcá - Ibagué;6;11;4.525523;-75.620722;4.512465;0.0000060;
QUINDÍO;CALARCÁ;63130;INVIAS-OTROS;Calarcá - Ibagué;10;1;4.51878;-75.606768;2.113062;0.034595;
META;PUERTO LÓPEZ;50573;ANI;Villavicencio-Puente Arimena;55;9;4.061221;-73.147511;1.811623;0.070044;IP Malla Vial del Meta
META;VILLAVICENCIO;50001;ANI;Villavicencio-Puente Arimena;1;14;4.108613;-73.600597;3.60872;0.000308;IP Malla Vial del Meta
META;VILLAVICENCIO;50001;ANI;Villavicencio-Puente Arimena;sd;9;4.119353;-73.613572;3.60872;0.000308;IP Malla Vial del Meta
ANTIOQUIA;BELLO;5088;ANI;Medellín - Santuario;0;20;6.310587;-75.554145;4.198048;0.000027;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;0;8;6.311688;-75.556634;4.198048;0.000027;
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;1;18;6.319209;-75.554685;4.057085;0.000050;
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;4;6.328732;-75.551494;2.773603;0.005544;
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;2;6.333141;-75.546963;2.872332;0.004075;
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;7;6.335769;-75.544387;1.774034;0.076058;
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;8;6.338664;-75.541278;2.405296;0.016159;
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;5;6.341784;-75.535189;2.747471;0.006006;
