departamento;municipio;divipola;entidad;pr;icount;clasificacion;latitud;longitud
CESAR;CURUMANÍ;20228;INVIAS-OTROS;71;2;Muy Bajo;9.180451;-73.590203
CESAR;CHIRIGUANÁ;20178;ANI;32;7;Bajo;9.565552;-73.588815
CESAR;CHIRIGUANÁ;20178;ANI;30;4;Muy Bajo;9.54742;-73.583508
MAGDALENA;SANTA MARTA;47001;ANI;70;9;Bajo;11.256266;-73.582192
CESAR;RIO DE ORO;20614;INVIAS-OTROS;45;2;Muy Bajo;8.130999;-73.580761
CESAR;CHIRIGUANÁ;20178;ANI;28;4;Muy Bajo;9.527979;-73.577757
CESAR;VALLEDUPAR;20001;ANI;69;9;Bajo;10.192766;-73.576784
SANTANDER;SABANA DE TORRES;68655;INVIAS-OTROS;56;3;Muy Bajo;7.558565;-73.573551
CESAR;CHIRIGUANÁ;20178;ANI;26;4;Muy Bajo;9.509654;-73.57235
SANTANDER;SABANA DE TORRES;68655;INVIAS-OTROS;54;2;Muy Bajo;7.543917;-73.572178
